,Price,Clarity,City
0,4268,2-Very slightly included,Dubai
1,505,2-Very slightly included,Kimberly
2,2686,2-Very slightly included,Las Vegas
3,738,3-Slightly included,Kimberly
4,4882,3-Slightly included,Dubai
5,9057,3-Slightly included,Tel Aviv
6,3733,2-Very slightly included,Amsterdam
7,8608,2-Very slightly included,Kimberly
8,557,2-Very slightly included,Zurich
9,6741,3-Slightly included,Antwerp
10,1040,3-Slightly included,Las Vegas
11,4284,3-Slightly included,Tel Aviv
12,3101,3-Slightly included,Madrid
13,14507,2-Very slightly included,Paris
14,10349,3-Slightly included,Surat
15,6006,3-Slightly included,Paris
16,1207,2-Very slightly included,Amsterdam
17,983,2-Very slightly included,Surat
18,3548,2-Very slightly included,Luxembourg
19,11078,3-Slightly included,Tel Aviv
20,11177,2-Very slightly included,Kimberly
21,1740,3-Slightly included,London
22,605,2-Very slightly included,Zurich
23,12932,0-Internaly Flawless,Amsterdam
24,574,3-Slightly included,Madrid
25,2873,3-Slightly included,London
26,6216,2-Very slightly included,Antwerp
27,3568,3-Slightly included,New York City
28,7066,3-Slightly included,Antwerp
29,3054,3-Slightly included,Antwerp
30,4969,3-Slightly included,Tel Aviv
31,743,1-Very very slightly included,Amsterdam
32,6801,1-Very very slightly included,Zurich
33,5717,3-Slightly included,Surat
34,2422,2-Very slightly included,Kimberly
35,2553,3-Slightly included,Kimberly
36,14208,3-Slightly included,Dubai
37,2858,2-Very slightly included,Antwerp
38,5292,3-Slightly included,Zurich
39,1240,3-Slightly included,Surat
40,1875,1-Very very slightly included,Kimberly
41,3861,3-Slightly included,Kimberly
42,2587,1-Very very slightly included,Antwerp
43,3648,2-Very slightly included,Surat
44,552,3-Slightly included,London
45,866,2-Very slightly included,Kimberly
46,625,2-Very slightly included,Antwerp
47,3830,3-Slightly included,New York City
48,3184,2-Very slightly included,Surat
49,5671,3-Slightly included,Zurich
50,2399,2-Very slightly included,New York City
51,1688,3-Slightly included,Antwerp
52,513,2-Very slightly included,Surat
53,1549,2-Very slightly included,London
54,1002,2-Very slightly included,London
55,878,1-Very very slightly included,Tel Aviv
56,3679,3-Slightly included,Luxembourg
57,495,4-Included,Tel Aviv
58,1221,2-Very slightly included,New York City
59,13839,2-Very slightly included,Surat
60,5113,3-Slightly included,Dubai
61,628,3-Slightly included,Kimberly
62,816,1-Very very slightly included,Zurich
63,3434,2-Very slightly included,Kimberly
64,854,2-Very slightly included,Surat
65,5455,2-Very slightly included,London
66,2898,3-Slightly included,Dubai
67,776,1-Very very slightly included,Madrid
68,7887,1-Very very slightly included,Zurich
69,1008,3-Slightly included,Kimberly
70,1342,3-Slightly included,Surat
71,7623,2-Very slightly included,Tel Aviv
72,2440,2-Very slightly included,London
73,11152,2-Very slightly included,Surat
74,14456,2-Very slightly included,Antwerp
75,1975,2-Very slightly included,New York City
76,9801,3-Slightly included,Dubai
77,658,2-Very slightly included,New York City
78,1076,2-Very slightly included,Paris
79,752,1-Very very slightly included,Antwerp
80,6121,2-Very slightly included,Surat
81,4401,3-Slightly included,Paris
82,416,2-Very slightly included,Tel Aviv
83,4227,3-Slightly included,New York City
84,1915,2-Very slightly included,London
85,14976,2-Very slightly included,Antwerp
86,4536,3-Slightly included,Surat
87,589,3-Slightly included,Paris
88,4157,3-Slightly included,Luxembourg
89,752,2-Very slightly included,Kimberly
90,5105,3-Slightly included,Antwerp
91,3715,3-Slightly included,Amsterdam
92,1415,3-Slightly included,Las Vegas
93,499,3-Slightly included,Tel Aviv
94,2787,2-Very slightly included,Zurich
95,2996,3-Slightly included,Surat
96,10485,1-Very very slightly included,Luxembourg
97,16329,3-Slightly included,Madrid
98,603,2-Very slightly included,Kimberly
99,3864,1-Very very slightly included,Antwerp
100,2443,2-Very slightly included,Kimberly
101,810,3-Slightly included,Kimberly
102,593,3-Slightly included,Surat
103,3988,3-Slightly included,Antwerp
104,652,2-Very slightly included,London
105,9664,3-Slightly included,Surat
106,5223,3-Slightly included,Tel Aviv
107,5226,3-Slightly included,New York City
108,826,1-Very very slightly included,Kimberly
109,6401,2-Very slightly included,Surat
110,4168,3-Slightly included,Amsterdam
111,489,2-Very slightly included,Madrid
112,18561,2-Very slightly included,Zurich
113,14674,2-Very slightly included,Surat
114,18358,2-Very slightly included,Luxembourg
115,933,2-Very slightly included,Madrid
116,445,1-Very very slightly included,Antwerp
117,3610,3-Slightly included,Surat
118,12069,3-Slightly included,Antwerp
119,645,2-Very slightly included,Madrid
120,4372,3-Slightly included,New York City
121,779,1-Very very slightly included,Kimberly
122,1350,3-Slightly included,Paris
123,14998,3-Slightly included,Paris
124,565,1-Very very slightly included,Surat
125,2086,3-Slightly included,Las Vegas
126,4537,3-Slightly included,London
127,589,3-Slightly included,New York City
128,16957,3-Slightly included,Paris
129,2443,2-Very slightly included,Kimberly
130,7275,2-Very slightly included,Kimberly
131,4541,3-Slightly included,Surat
132,11636,2-Very slightly included,London
133,457,2-Very slightly included,Amsterdam
134,3215,3-Slightly included,Amsterdam
135,942,2-Very slightly included,New York City
136,2060,2-Very slightly included,Las Vegas
137,7882,1-Very very slightly included,Kimberly
138,706,1-Very very slightly included,Antwerp
139,2373,3-Slightly included,Kimberly
140,675,2-Very slightly included,London
141,3137,1-Very very slightly included,Antwerp
142,871,0-Internaly Flawless,Dubai
143,9072,4-Included,Kimberly
144,5088,3-Slightly included,Las Vegas
145,6409,3-Slightly included,Tel Aviv
146,12830,2-Very slightly included,Surat
147,18394,3-Slightly included,Las Vegas
148,5581,3-Slightly included,Surat
149,2671,2-Very slightly included,Madrid
150,5379,3-Slightly included,Amsterdam
151,5242,2-Very slightly included,Paris
152,10487,1-Very very slightly included,Surat
153,4208,0-Internaly Flawless,Surat
154,608,2-Very slightly included,Surat
155,1930,2-Very slightly included,New York City
156,3936,3-Slightly included,Amsterdam
157,1732,2-Very slightly included,Madrid
158,2328,3-Slightly included,Luxembourg
159,3511,3-Slightly included,Kimberly
160,1043,1-Very very slightly included,Zurich
161,4831,3-Slightly included,Amsterdam
162,8955,0-Internaly Flawless,Madrid
163,5625,2-Very slightly included,New York City
164,1052,0-Internaly Flawless,Kimberly
165,1167,1-Very very slightly included,Amsterdam
166,6597,3-Slightly included,Paris
167,2088,2-Very slightly included,London
168,4964,3-Slightly included,London
169,6937,2-Very slightly included,Paris
170,15394,3-Slightly included,Dubai
171,4915,3-Slightly included,Luxembourg
172,2853,3-Slightly included,Amsterdam
